CustomerID,Recency,Frequency,Monetary,ClusterID
12346,0.9063444,0.06578948,0.2940541,2
12347,0.429003,0.02192982,0.2994788,2
12348,0.978852,0.01315789,0.3016827,2
12349,0.8700907,0,0.3020326,2
12350,0.8096676,0,0.302079,2
12352,0.5740181,0.01754386,0.3032196,2
12353,0.939577,0.01754386,0.303645,2
12354,0.009063444,0.00877193,0.3044956,3
12355,0.1329305,0.00877193,0.3062935,3
12356,0.9063444,0,0.3069991,2
12357,0.9063444,0,0.3071442,2
12358,0.2416918,0,0.3072988,3
12359,0.9818731,0.004385965,0.3078691,2
12360,0.1570997,0.127193,0.3078691,3
12361,0.003021148,0.09210526,0.3078691,3
12362,0.1722054,0.8815789,0.3078691,1
12363,0.03927492,0,0.3078691,3
12364,0.1993958,0.08333334,0.3078691,3
12365,0.6132931,0.05701754,0.3078691,2
12367,0.1903323,0.1359649,0.3078691,3
12370,0.1903323,0.01315789,0.3078691,3
12371,0.1389728,0.01315789,0.3078691,3
12372,0.07250755,0.02192982,0.3078691,3
12373,0.4652568,0.1535088,0.3078691,2
12374,0.4018127,0.004385965,0.3078691,3
12375,0.05135952,0.09210526,0.3078691,3
12377,0,0.01315789,0.3084298,3
12378,0.897281,0,0.3085941,2
12379,0.7492447,0,0.310334,2
12380,0.3595166,0,0.310769,3
12381,0.7915408,0,0.310769,2
12383,0.4954683,0.04385965,0.310769,2
12384,0.3202417,0,0.3111557,3
12386,0.08761329,0,0.3118903,3
12388,0.1661631,0,0.3118903,3
12390,0.7885196,0,0.3127989,2
12391,0.06646526,0,0.3136689,3
12393,0.7190332,0,0.3137849,2
12394,0.9365559,0.004385965,0.3140169,2
12395,0.489426,0.004385965,0.3141812,2
12397,0.8851964,0,0.3144422,2
12398,0.2326284,0.00877193,0.3145969,3
12399,0.04229607,0.004385965,0.3147129,3
12401,0.09667674,0.004385965,0.3147129,3
12402,0.1087613,0.07017544,0.3149371,3
12403,0.7583082,0.004385965,0.3150995,2
12405,0.1540785,0.01754386,0.3153025,3
12406,0.5679758,0.004385965,0.315432,2
12407,0.4682779,0.03508772,0.3154552,2
12408,0.7824773,0.00877193,0.3156988,2
12409,0.05135952,0.01315789,0.3157858,3
12410,0.009063444,0.00877193,0.3159869,3
12412,0.05438067,0.00877193,0.3162208,3
12413,0.1117825,0.004385965,0.3162788,3
12414,0.09667674,0.01315789,0.3166848,3
12415,0.5317221,0.004385965,0.3169458,2
12417,0.2356495,0.004385965,0.3172415,3
12418,0.04229607,0,0.3174967,3
12420,0.4954683,0,0.3177287,2
12421,0.3202417,0.01754386,0.317837,3
12422,0.5649547,0.004385965,0.3179221,2
12423,0.3293051,0,0.3179221,3
12424,0.01812689,0.01315789,0.3179607,3
12425,0.2416918,0.05263158,0.3180825,3
12426,0.8761329,0.03508772,0.318212,2
12427,0.8851964,0.02631579,0.3182701,2
12428,0.1480363,0,0.3187263,3
12429,0.7673716,0.00877193,0.3187727,2
12430,0.5377644,0.02192982,0.3190975,2
12431,0.7613293,0.04824561,0.3191767,2
12432,0.3867069,0.004385965,0.319372,3
12433,0.5619335,0.00877193,0.319372,2
